date,year,open,high,low,ets_price,volume,sp500_close,carbon_index,coal_price,stoxx50,close_ma5,volume_ma5,close_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,high_close_ratio,low_close_ratio
2017-07-17,2017,5.43,5.43,5.43,5.43,0,2459.14,0.044117647,83.5,3513,5.396,0,0.006300964,5.308,0,0.022984175,5.1225,0.8,0.060029283,4.888333333,34.9,0.110808046,-1,4.968583333,79.30833333,0.092866847,-1,0,0
2017-07-18,2017,5.45,5.45,5.45,5.45,0,2460.61,0.027777778,83.4,3474,5.422,0,0.005164146,5.342,0,0.020217147,5.148,0.25,0.058663559,4.904333333,34.9,0.111262149,-1,4.971,78.85833333,0.096358882,-1,0,0
2017-07-19,2017,5.38,5.38,5.38,5.38,0,2473.83,0,83,3488,5.404,0,-0.004441155,5.376,0,0.000744048,5.1735,0.25,0.039914951,4.917333333,34.9,0.094088937,-1,4.97125,78.05,0.082222781,-1,0,0
2017-07-20,2017,5.29,5.29,5.29,5.29,0,2473.45,0.012820513,83.4,3490,5.392,0,-0.018916914,5.382,0,-0.017094017,5.195,0,0.018286814,4.929833333,34.9,0.073058589,-1,4.971416667,77.7,0.064083008,-1,0,0
2017-07-21,2017,5.08,5.08,5.08,5.08,0,2472.54,-0.016666667,83.6,3445,5.326,0,-0.046188509,5.357,0,-0.051708046,5.206,0,-0.024202843,4.9385,34.9,0.028652425,-1,4.97025,77.53333333,0.022081384,-1,0,0
2017-07-24,2017,5.13,5.13,5.13,5.13,0,2469.91,0,83.45,3441,5.266,0,-0.025826054,5.331,0,-0.037703995,5.224,0,-0.017993874,4.948,34.9,0.036782538,-1,4.970083333,77.46666667,0.032175852,-1,0,0
2017-07-25,2017,5.15,5.15,5.15,5.15,0,2477.13,0,83.55,3472,5.206,0,-0.010756819,5.314,0,-0.030861874,5.235,0,-0.016236867,4.959833333,34.73333333,0.038341342,-1,4.970583333,76.975,0.036095696,-1,0,0
2017-07-26,2017,5.24,5.24,5.24,5.24,0,2477.83,0.007936508,83.5,3482,5.178,0,0.011973735,5.291,0,-0.00963901,5.2505,0,-0.00199981,4.974,34.73333333,0.053478086,-1,4.97125,76.975,0.05406085,-1,0,0
2017-07-27,2017,5.13,5.13,5.13,5.13,0,2475.42,0.030769231,83.5,3481,5.146,0,-0.003109211,5.269,0,-0.026380717,5.254,0,-0.023601066,4.984333333,34.73333333,0.029224905,-1,4.970583333,76.975,0.032072024,-1,0,0
2017-07-28,2017,5.17,5.17,5.17,5.17,0,2472.1,0.016949153,83.5,3456,5.164,0,0.00116189,5.245,0,-0.014299333,5.2615,0,-0.017390478,4.994333333,34.73333333,0.035173196,-1,4.969666667,76.91666667,0.040311221,-1,0,0
2017-07-31,2017,5.22,5.22,5.22,5.22,0,2470.3,0.016949153,83.25,3447,5.182,0,0.007333076,5.224,0,-0.000765697,5.266,0,-0.008735283,5.007666667,34.73333333,0.042401651,-1,4.9705,74.53333333,0.050196157,-1,0,0
2017-08-01,2017,5.29,5.29,5.29,5.29,0,2476.35,0.064516129,82.25,3473,5.21,0,0.015355086,5.208,0,0.015745008,5.275,0,0.002843602,5.020666667,34.36666667,0.053644934,-1,4.97375,74.29166667,0.063583815,-1,0,0
2017-08-02,2017,5.42,5.42,5.42,5.42,0,2477.57,0.05,82.1,3453,5.246,0,0.033168128,5.212,0,0.039907905,5.294,0,0.023800529,5.036833333,34.36666667,0.076072929,-1,4.976166667,74.08333333,0.089191814,-1,0,0
2017-08-03,2017,5.42,5.42,5.42,5.42,0,2472.16,-0.054054054,82.8,3463,5.304,0,0.021870287,5.225,0,0.037320574,5.3035,0,0.021966626,5.054833333,34.33333333,0.072241089,-1,4.979166667,72.79166667,0.088535565,-1,0,0
2017-08-04,2017,5.34,5.34,5.34,5.34,0,2476.83,0,83.6,3505,5.338,0,0.000374672,5.251,0,0.016949153,5.304,0,0.00678733,5.069666667,34.31666667,0.05332369,-1,4.982583333,71.825,0.071733204,-1,0,0
2017-08-07,2017,5.26,5.26,5.26,5.26,0,2480.91,-0.035714286,84,3501,5.346,0,-0.016086794,5.264,0,-0.000759878,5.2975,0,-0.007078811,5.084333333,34.31666667,0.03455058,-1,4.985,69.25,0.055165496,-1,0,0
2017-08-08,2017,5.26,5.26,5.26,5.26,0,2474.92,0.036144578,83.5,3512,5.34,0,-0.014981273,5.275,0,-0.002843602,5.2945,0,-0.006516196,5.0965,34.31666667,0.03208084,-1,4.9865,69.2,0.05484809,-1,0,0
2017-08-09,2017,5.36,5.36,5.36,5.36,0,2474.02,-0.01369863,84.1,3466,5.328,0,0.006006006,5.287,0,0.013807452,5.289,0,0.013424088,5.109666667,34.31666667,0.048992106,-1,4.989166667,68.66666667,0.07432771,-1,0,0
2017-08-10,2017,5.36,5.36,5.36,5.36,0,2438.21,0.083333333,84.4,3426,5.316,0,0.0082769,5.31,0,0.009416196,5.2895,0,0.013328292,5.119666667,34.31666667,0.04694316,-1,4.991666667,68.09166667,0.073789649,-1,0,0
2017-08-11,2017,5.38,5.38,5.38,5.38,0,2441.32,0,85.1,3399,5.324,0,0.010518407,5.331,0,0.009191521,5.288,0,0.017397882,5.1285,33.78333333,0.04903968,-1,4.992,67.70833333,0.077724359,-1,0,0
2017-08-14,2017,5.51,5.51,5.51,5.51,0,2465.84,0.035087719,85.4,3454,5.374,0,0.025307034,5.36,0,0.027985075,5.292,0,0.041194255,5.138666667,33.78333333,0.072262584,-1,4.993083333,66.425,0.103526545,-1,0,0
2017-08-15,2017,5.52,5.52,5.52,5.52,0,2464.61,0.041666667,84.75,3462,5.426,0,0.017323996,5.383,0,0.025450492,5.2955,0,0.042394486,5.1515,33.78333333,0.071532563,-1,4.995833333,66.16666667,0.104920767,-1,0,0
2017-08-16,2017,5.79,5.79,5.79,5.79,0,2468.11,0.05,85.35,3484,5.512,0,0.050435414,5.42,0,0.068265683,5.316,0,0.089164786,5.166166667,33.78333333,0.120753621,-1,5.0005,64.65,0.157884212,-1,0,0
2017-08-17,2017,5.8,5.8,5.8,5.8,0,2430.01,0.034482759,86.1,3462,5.6,0,0.035714286,5.458,0,0.062660315,5.3415,0,0.085837312,5.179833333,33.78333333,0.119727147,-1,4.999666667,59.025,0.160077338,-1,0,0
2017-08-18,2017,5.81,5.81,5.81,5.81,0,2425.55,0.028169014,86.25,3447,5.686,0,0.021807949,5.505,0,0.055404178,5.378,0,0.080327259,5.190166667,33.78333333,0.119424553,-1,5.002583333,57.4,0.161399943,-1,0,0
2017-08-21,2017,5.74,5.74,5.74,5.74,0,2428.37,-0.081081081,85.2,3420,5.732,0,0.001395673,5.553,0,0.033675491,5.4085,0,0.06129241,5.199666667,33.78333333,0.103916918,-1,5.003833333,55.35,0.147120541,-1,0,0
2017-08-22,2017,5.77,5.77,5.77,5.77,0,2452.51,-0.0625,85.25,3455,5.782,0,-0.002075406,5.604,0,0.029621699,5.4395,0,0.060759261,5.210166667,33.78333333,0.107450178,-1,5.00625,42.81666667,0.152559301,-1,0,0
2017-08-23,2017,5.94,5.94,5.94,5.94,0,2444.04,0.131578947,85.4,3438,5.812,0,0.0220234,5.662,0,0.049099258,5.4745,0,0.085030596,5.226166667,33.78333333,0.136588322,-1,5.011,41.21666667,0.185392137,-1,0,0
2017-08-24,2017,5.94,5.94,5.94,5.94,0,2438.97,0.060606061,85.15,3445,5.84,0,0.017123288,5.72,0,0.038461538,5.515,0,0.077062557,5.2405,33.78333333,0.13347963,-1,5.016916667,39.20833333,0.183994153,-1,0,0
2017-08-25,2017,6.08,6.08,6.08,6.08,0,2443.05,0.027027027,85.25,3440,5.894,0,0.031557516,5.79,0,0.050086356,5.5605,0,0.09342685,5.255833333,33.78333333,0.156809894,-1,5.024916667,37.35,0.209970315,-1,0,0
2017-08-28,2017,6.12,6.12,6.12,6.09,5,2444.24,0,89,3422,5.964,1,0.021126761,5.848,0.5,0.041381669,5.604,0.25,0.086723769,5.271166667,33.86666667,0.155341955,-0.852362205,5.032666667,36.66666667,0.210094052,-0.863636364,0.004926108,0.004926108
2017-08-29,2017,6.03,6.03,6.03,6.03,0,2446.3,0.032786885,89.55,3387,6.016,1,0.002327128,5.899,0.5,0.022207154,5.641,0.25,0.068959404,5.288833333,33.86666667,0.140138027,-1,5.04,36.625,0.196428571,-1,0,0
2017-08-30,2017,6.02,6.02,6.02,6.02,0,2457.59,-0.028985507,89.1,3404,6.032,1,-0.00198939,5.922,0.5,0.016548463,5.671,0.25,0.061541174,5.308,33.86666667,0.134137151,-1,5.047666667,34.11666667,0.192630258,-1,0,0
2017-08-31,2017,5.93,5.93,5.93,5.93,0,2471.65,0.014705882,87.65,3424,6.03,1,-0.016583748,5.935,0.5,-0.00084246,5.6965,0.25,0.040990082,5.322833333,33.86666667,0.114068322,-1,5.053833333,33.675,0.173366751,-1,0,0
2017-09-01,2017,5.82,5.82,5.82,5.82,0,2476.55,0.016666667,88.05,3444,5.978,1,-0.026430244,5.936,0.5,-0.019541779,5.7205,0.25,0.017393584,5.335833333,33.86666667,0.090738716,-1,5.0595,32.075,0.150311296,-1,0,0
